Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
water-filter-fitting-joiner-quick-connect-38-enviro-aqua,"Water Filter Fitting Joiner Quick Connect 3/8"" . Enviro Aqua","<p>Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4&quot; tubing. Suitable for connecting filter housings, RO membranes, holding tanks, and dedicated drinking taps. Stocked locally in Sydney for next-day Australian dispatch.</p><p>Quality fittings are critical to the long-term reliability of any water filtration system. Push-fit connections make installation tool-free, but require quality components to maintain a leak-free seal under pressure. All Enviro Aqua fittings are pressure-tested and rated for use with reverse osmosis systems and drinking water applications. Standard 1/4&quot; sizing is compatible with virtually every residential RO and water filter system on the Australian market.</p><p>## Why buy from Enviro Aqua</p><p>Enviro Aqua is an Australian-owned water filtration specialist based on the NSW Central Coast. We supply residential, commercial, and industrial water treatment products across Australia — with local warehousing for fast dispatch, Australian-standards-compliant products, and direct support from our team if you need help choosing the right system. Where applicable, our products carry WaterMark and WELS certification for full compliance with Australian plumbing standards. Free shipping on orders over $99 within Australia.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3355,0,shopify,10,deny,manual,14.95,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l500.jpg,1,"Water Filter Fitting Joiner Quick Connect 3/8"" . Enviro Aqua",FALSE,Water Filter Fitting Joiner Quick Connect | Enviro Aqua,"Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4"" tubing.",active
water-filter-fitting-joiner-quick-connect-38-enviro-aqua,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-1.jpg,2,"Water Filter Fitting Joiner Quick Connect 3/8"" . Enviro Aqua",,,,
water-filter-fitting-joiner-quick-connect-38-enviro-aqua,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600.jpg,3,"Water Filter Fitting Joiner Quick Connect 3/8"" . Enviro Aqua",,,,
reverse-osmosis-ro-residential-14-drain-clamp,"Reverse Osmosis RO Residential 1/4"" Drain Clamp","<p>Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4&quot; tubing. Suitable for connecting filter housings, RO membranes, holding tanks, and dedicated drinking taps. Stocked locally in Sydney for next-day Australian dispatch.</p><p>Quality fittings are critical to the long-term reliability of any water filtration system. Push-fit connections make installation tool-free, but require quality components to maintain a leak-free seal under pressure. All Enviro Aqua fittings are pressure-tested and rated for use with reverse osmosis systems and drinking water applications. Standard 1/4&quot; sizing is compatible with virtually every residential RO and water filter system on the Australian market.</p><p>## Why buy from Enviro Aqua</p><p>Enviro Aqua is an Australian-owned water filtration specialist based on the NSW Central Coast. We supply residential, commercial, and industrial water treatment products across Australia — with local warehousing for fast dispatch, Australian-standards-compliant products, and direct support from our team if you need help choosing the right system. Where applicable, our products carry WaterMark and WELS certification for full compliance with Australian plumbing standards. Free shipping on orders over $99 within Australia.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3381,0,shopify,10,deny,manual,19.95,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-8.jpg,1,"Reverse Osmosis RO Residential 1/4"" Drain Clamp",FALSE,"Reverse Osmosis RO Residential 1/4"" Drain | Enviro Aqua","Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4"" tubing.",active
reverse-osmosis-ro-residential-14-drain-clamp,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l500-4.jpg,2,"Reverse Osmosis RO Residential 1/4"" Drain Clamp",,,,
commercial-reverse-osmosis-ro-desalination-plant-ro-1500-lpd-400gpd,COMMERCIAL REVERSE OSMOSIS RO DESALINATION PLANT RO 1500 LPD / 400GPD,"<p>Under-sink reverse osmosis system that delivers bottled-water-quality drinking water from your kitchen tap. Includes filter housings, mounting hardware, and fittings ready for standard kitchen installation.</p><p>Reverse osmosis works by forcing water through a semi-permeable membrane that filters contaminants down to molecular level — removing dissolved salts, heavy metals, fluoride, chlorine byproducts, pesticides, and a wide spectrum of other contaminants that conventional filtration leaves behind. The result is water comparable to premium bottled water, delivered on demand from your kitchen tap. RO systems require a dedicated drinking tap (included or available separately) and produce a small amount of brine wastewater as part of normal operation.</p><p>Installation typically takes 1 to 2 hours and can be DIY for those comfortable with basic plumbing, or carried out by any licensed plumber. The system mounts inside the cabinet under your sink, with the dedicated drinking tap installed in an existing or newly-drilled hole in your sink or benchtop. A drain saddle clamp connects to the existing waste line for the brine drain.</p><p>## Why buy from Enviro Aqua</p><p>Enviro Aqua is an Australian-owned water filtration specialist based on the NSW Central Coast. We supply residential, commercial, and industrial water treatment products across Australia — with local warehousing for fast dispatch, Australian-standards-compliant products, and direct support from our team if you need help choosing the right system. Where applicable, our products carry WaterMark and WELS certification for full compliance with Australian plumbing standards. Free shipping on orders over $99 within Australia.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3395,0,shopify,10,deny,manual,940.00,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/400-GPD-RO.png,1,COMMERCIAL REVERSE OSMOSIS RO DESALINATION PLANT RO 1500 LPD / 400GPD,FALSE,COMMERCIAL REVERSE OSMOSIS RO DESALINATION | Enviro Aqua AU,"Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4"" tubing.",active
commercial-reverse-osmosis-ro-desalination-plant-ro-1500-lpd-400gpd,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/400-GPD-RO-1.jpg,2,COMMERCIAL REVERSE OSMOSIS RO DESALINATION PLANT RO 1500 LPD / 400GPD,,,,
30-pics-14-locking-clips-clamps-for-reverse-osmosis-water-filter-fittings-6mm,"30 Pics 1/4"" Locking Clips Clamps for Reverse Osmosis Water Filter Fittings 6mm","<p>Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4&quot; tubing. Suitable for connecting filter housings, RO membranes, holding tanks, and dedicated drinking taps. Stocked locally in Sydney for next-day Australian dispatch.</p><p>Quality fittings are critical to the long-term reliability of any water filtration system. Push-fit connections make installation tool-free, but require quality components to maintain a leak-free seal under pressure. All Enviro Aqua fittings are pressure-tested and rated for use with reverse osmosis systems and drinking water applications. Standard 1/4&quot; sizing is compatible with virtually every residential RO and water filter system on the Australian market.</p><p>## Why buy from Enviro Aqua</p><p>Enviro Aqua is an Australian-owned water filtration specialist based on the NSW Central Coast. We supply residential, commercial, and industrial water treatment products across Australia — with local warehousing for fast dispatch, Australian-standards-compliant products, and direct support from our team if you need help choosing the right system. Where applicable, our products carry WaterMark and WELS certification for full compliance with Australian plumbing standards. Free shipping on orders over $99 within Australia.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3400,0,shopify,10,deny,manual,14.95,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l500-7.jpg,1,"30 Pics 1/4"" Locking Clips Clamps for Reverse Osmosis Water Filter Fittings 6mm",FALSE,"30 Pics 1/4"" Locking Clips Clamps for Reverse | Enviro Aqua",Under-sink reverse osmosis system that delivers bottled-water-quality drinking water from your kitchen tap.,active
30-pics-14-locking-clips-clamps-for-reverse-osmosis-water-filter-fittings-6mm,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l500-1-3.jpg,2,"30 Pics 1/4"" Locking Clips Clamps for Reverse Osmosis Water Filter Fittings 6mm",,,,
water-filter-fitting-tee-quick-connect-38-enviro-aqua,"Water Filter Fitting Tee Quick Connect 3/8"". Enviro Aqua","<p>Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4&quot; tubing. Suitable for connecting filter housings, RO membranes, holding tanks, and dedicated drinking taps. Stocked locally in Sydney for next-day Australian dispatch.</p><p>Quality fittings are critical to the long-term reliability of any water filtration system. Push-fit connections make installation tool-free, but require quality components to maintain a leak-free seal under pressure. All Enviro Aqua fittings are pressure-tested and rated for use with reverse osmosis systems and drinking water applications. Standard 1/4&quot; sizing is compatible with virtually every residential RO and water filter system on the Australian market.</p><p>## Why buy from Enviro Aqua</p><p>Enviro Aqua is an Australian-owned water filtration specialist based on the NSW Central Coast. We supply residential, commercial, and industrial water treatment products across Australia — with local warehousing for fast dispatch, Australian-standards-compliant products, and direct support from our team if you need help choosing the right system. Where applicable, our products carry WaterMark and WELS certification for full compliance with Australian plumbing standards. Free shipping on orders over $99 within Australia.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3403,0,shopify,10,deny,manual,14.95,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-12.jpg,1,"Water Filter Fitting Tee Quick Connect 3/8"". Enviro Aqua",FALSE,"Water Filter Fitting Tee Quick Connect 3/8"". | Enviro Aqua","Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4"" tubing.",active
